State,2010,2011,2012,2013,2014,2015
     United States1,79,80,81,82.3,83.2,84.1
Alabama,72,75,80,86.3,89.3,87.1
Alaska,68,70,72,71.1,75.6,76.1
Arizona,78,76,75,75.7,77.4,79.5
Arkansas,81,84,85,86.9,84.9,87.0
California,76,79,80,81.0,82.0,83.0
Colorado,74,75,77,77.3,77.3,78.9
Connecticut,83,85,86,87.0,87.2,87.4
Delaware,78,80,80,87.0,85.6,85.5
District of Columbia,59,59,62,61.4,68.5,69.2
Florida,71,75,76,76.1,77.9,80.7
Georgia,67,70,72,72.5,78.8,79.4
Hawaii,80,81,82,81.8,81.6,82.7
Idaho,,,,77.3,78.9,79.7
Illinois,84,82,83,86.0,85.6,85.5
Indiana,86,86,87,87.9,87.1,86.8
Iowa,88,89,90,90.5,90.8,91.3
Kansas,83,85,86,85.7,85.7,85.7
Kentucky,,,86,87.5,88.0,88.6
Louisiana,71,72,74,74.6,77.5,78.6
Maine,84,85,86,86.5,87.5,87.0
Maryland,83,84,85,86.4,87.0,87.6
Massachusetts,83,85,85,86.1,87.3,87.5
Michigan,74,76,77,78.6,79.8,79.7
Minnesota,77,78,80,81.2,81.9,82.2
Mississippi,75,75,76,77.6,75.4,82.3
Missouri,81,84,86,87.3,87.8,89.0
Montana,82,84,84,85.4,86.0,85.6
Nebraska,86,88,88,89.7,88.9,89.3
Nevada,62,63,71,70.0,71.3,73.6
New Hampshire,86,86,87,88.1,88.1,88.2
New Jersey,83,86,88,88.6,89.7,90.1
New Mexico,63,70,70,68.5,68.6,71.0
New York,77,77,77,77.8,79.2,80.4
North Carolina,78,80,83,83.9,85.6,85.9
North Dakota,86,87,88,87.2,86.6,87.5
Ohio,80,81,82,81.8,80.7,83.5
Oklahoma,,,85,82.7,82.5,81.6
Oregon,68,68,69,72.0,73.8,74.8
Pennsylvania,83,84,86,85.3,84.8,86.1
Rhode Island,77,77,80,80.8,83.2,82.8
South Carolina,74,75,78,80.1,80.3,82.6
South Dakota,83,83,83,82.7,83.9,83.9
Tennessee,86,87,86,87.2,87.9,88.5
Texas,86,88,88,88.3,89.0,89.1
Utah,76,80,83,83.9,84.8,85.2
Vermont,87,88,87,87.8,87.7,87.7
Virginia,82,83,84,85.3,85.7,86.7
Washington,76,77,76,78.2,78.2,79.7
West Virginia,78,79,81,84.5,86.5,89.8
Wisconsin,87,88,88,88.6,88.4,88.2
Wyoming,80,79,77,78.6,79.3,80.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
